--------------------------------
Started at UT 2015y008d03h51m25s
Elapsed      Time Interval
Time / s          / s
--------------------------------
24218       8.465615017e-01
24279       8.465614972e-01
24340       8.465614982e-01
24401       8.465615027e-01
24462       8.465615017e-01
24523       8.465615017e-01
24584       8.465615062e-01
24645       8.465615022e-01
24706       8.465615032e-01
24767       8.465615007e-01
24828       8.465615067e-01
24889       8.465615037e-01
24950       8.465615027e-01
25011       8.465615007e-01
25072       8.465615002e-01
25133       8.465614957e-01
25194       8.465614977e-01
25255       8.465615002e-01
25316       8.465615027e-01
25377       8.465614977e-01
25438       8.465614977e-01
25499       8.465614992e-01
25560       8.465615022e-01
25621       8.465615037e-01
25682       8.465615022e-01
25743       8.465615032e-01
25804       8.465615007e-01
25865       8.465615042e-01
25926       8.465614997e-01
25987       8.465615027e-01
26048       8.465615067e-01
26109       8.465615042e-01
26170       8.465615012e-01
26231       8.465615047e-01
26292       8.465614962e-01
26353       8.465614972e-01
26414       8.465614997e-01
26475       8.465614997e-01
26536       8.465614947e-01
26597       8.465614962e-01
26658       8.465615007e-01
26719       8.465615002e-01
26780       8.465614892e-01
26841       8.465615082e-01
26902       8.465614952e-01
26963       8.465614917e-01
27024       8.465615027e-01
27085       8.465614997e-01
27146       8.465614967e-01
27207       8.465614987e-01
27268       8.465615022e-01
27329       8.465614997e-01
27390       8.465614977e-01
27451       8.465614977e-01
27512       8.465614967e-01
27573       8.465614942e-01
27634       8.465614962e-01
27695       8.465614932e-01
27756       8.465614932e-01
27817       8.465614937e-01
27878       8.465614997e-01
27939       8.465614927e-01
28000       8.465614907e-01
28061       8.465614907e-01
28122       8.465614862e-01
28183       8.465614867e-01
28244       8.465614872e-01
28305       8.465614982e-01
28366       8.465614947e-01
28427       8.465614932e-01
28488       8.465614937e-01
28549       8.465614947e-01
28610       8.465614942e-01
28671       8.465615047e-01
28732       8.465614972e-01
28793       8.465614917e-01
28854       8.465614857e-01
28915       8.465614872e-01
28976       8.465614872e-01
29037       8.465614887e-01
29098       8.465614872e-01
29159       8.465614927e-01
29220       8.465614877e-01
29281       8.465614922e-01
29342       8.465614877e-01
29403       8.465614942e-01
29464       8.465614842e-01
29525       8.465614862e-01
29586       8.465614832e-01
29647       8.465614887e-01
29708       8.465614857e-01
29769       8.465614832e-01
29830       8.465614887e-01
29891       8.465614867e-01
29952       8.465614827e-01
30013       8.465614822e-01
30074       8.465614822e-01
30135       8.465614827e-01
30196       8.465614797e-01
30257       8.465614827e-01
30318       8.465614837e-01
30379       8.465614867e-01
30440       8.465614832e-01
30501       8.465614847e-01
30562       8.465614852e-01
30623       8.465614852e-01
30684       8.465614812e-01
30745       8.465614787e-01
30806       8.465614857e-01
30867       8.465614777e-01
30928       8.465614802e-01
30989       8.465614767e-01
31050       8.465614777e-01
31111       8.465614752e-01
31172       8.465614787e-01
31233       8.465614827e-01
31294       8.465614752e-01
31355       8.465614772e-01
31416       8.465614737e-01
31477       8.465614792e-01
31538       8.465614832e-01
31599       8.465614827e-01
31660       8.465614762e-01
31721       8.465614757e-01
31782       8.465614782e-01
31843       8.465614727e-01
31904       8.465614717e-01
31965       8.465614727e-01
32026       8.465614822e-01
32087       8.465614807e-01
32148       8.465614762e-01
32209       8.465614707e-01
32270       8.465614727e-01
32331       8.465614707e-01
32392       8.465614712e-01
32453       8.465614762e-01
32514       8.465614737e-01
32575       8.465614757e-01
32636       8.465614722e-01
32697       8.465614737e-01
32758       8.465614752e-01
32819       8.465614752e-01
32880       8.465614687e-01
32941       8.465614667e-01
33002       8.465614752e-01
33063       8.465614727e-01
33124       8.465614742e-01
33185       8.465614717e-01
33246       8.465614742e-01
33307       8.465614727e-01
33368       8.465614687e-01
33429       8.465614672e-01
33490       8.465614682e-01
33551       8.465614642e-01
33612       8.465614667e-01
33673       8.465614752e-01
33734       8.465614737e-01
33795       8.465614707e-01
33856       8.465614732e-01
33917       8.465614692e-01
33978       8.465614722e-01
34039       8.465614677e-01
34100       8.465614562e-01
34161       8.465614557e-01
34222       8.465614627e-01
34283       8.465614592e-01
34344       8.465614692e-01
34405       8.465614667e-01
34466       8.465614697e-01
34527       8.465614662e-01
34588       8.465614587e-01
34649       8.465614542e-01
34710       8.465614652e-01
34771       8.465614682e-01
34832       8.465614657e-01
34893       8.465614667e-01
34954       8.465614642e-01
35015       8.465614602e-01
35076       8.465614607e-01
35137       8.465614632e-01
35198       8.465614652e-01
35259       8.465614652e-01
35320       8.465614622e-01
35381       8.465614627e-01
35442       8.465614607e-01
35503       8.465614602e-01
35564       8.465614587e-01
35625       8.465614647e-01
35686       8.465614667e-01
35747       8.465614637e-01
35808       8.465614652e-01
35869       8.465614577e-01
35930       8.465614612e-01
35991       8.465614617e-01
36052       8.465614617e-01
36113       8.465614622e-01
36174       8.465614617e-01
36235       8.465614557e-01
36296       8.465614607e-01
36357       8.465614612e-01
36418       8.465614612e-01
36479       8.465614622e-01
36540       8.465614612e-01
36601       8.465614637e-01
36662       8.465614587e-01
36723       8.465614562e-01
36784       8.465614632e-01
36845       8.465614612e-01
36906       8.465614542e-01
36967       8.465614572e-01
37028       8.465614592e-01
37089       8.465614667e-01
37150       8.465614572e-01
37211       8.465614577e-01
37272       8.465614582e-01
37333       8.465614597e-01
37394       8.465614602e-01
37455       8.465614597e-01
37516       8.465614622e-01
37577       8.465614572e-01
37638       8.465614547e-01
37699       8.465614587e-01
37760       8.465614587e-01
37821       8.465614577e-01
37882       8.465614607e-01
37943       8.465614577e-01
38004       8.465614622e-01
38065       8.465614597e-01
38126       8.465614602e-01
38187       8.465614567e-01
38248       8.465614542e-01
38309       8.465614592e-01
38370       8.465614557e-01
38431       8.465614567e-01
38492       8.465614522e-01
38553       8.465614607e-01
38614       8.465614572e-01
38675       8.465614547e-01
38736       8.465614492e-01
38797       8.465614522e-01
38858       8.465614472e-01
38919       8.465614557e-01
38980       8.465614527e-01
39041       8.465614552e-01
39102       8.465614542e-01
39163       8.465614457e-01
39224       8.465614492e-01
39285       8.465614537e-01
39346       8.465614542e-01
39407       8.465614467e-01
39468       8.465614492e-01
39529       8.465614422e-01
39590       8.465614442e-01
39651       8.465614547e-01
39712       8.465614507e-01
39773       8.465614472e-01
39834       8.465614512e-01
39895       8.465614557e-01
39956       8.465614552e-01
40017       8.465614502e-01
40078       8.465614427e-01
40139       8.465614527e-01
40200       8.465614477e-01
